月,全市场数,次新数,全_H250_G100,新_H250_G100,全_H250_G200,新_H250_G200,全_H250_G500,新_H250_G500,全_H500_G100,新_H500_G100,全_H500_G200,新_H500_G200,全_H500_G500,新_H500_G500,全_H750_G100,新_H750_G100,全_H750_G200,新_H750_G200,全_H750_G500,新_H750_G500
2017-03,2788,411,0.04124820659971305,0.043795620437956206,0.004662840746054519,0.004866180048661801,0.0003586800573888092,0.0,0.15208034433285508,0.1873479318734793,0.06958393113342898,0.08759124087591241,0.01721664275466284,0.021897810218978103,0.2342180774748924,0.25304136253041365,0.11226685796269728,0.145985401459854,0.02977044476327116,0.0535279805352798
2017-04,2809,406,0.04521181915272339,0.04187192118226601,0.00711997152011392,0.0049261083743842365,0.0,0.0,0.17194731221075116,0.21921182266009853,0.08081167675329298,0.09852216748768473,0.019223923104307584,0.022167487684729065,0.26628693485226057,0.29802955665024633,0.12958348166607334,0.15517241379310345,0.032395870416518334,0.05665024630541872
2017-05,2837,401,0.05040535777229468,0.04488778054862843,0.010574550581600282,0.0024937655860349127,0.00035248501938667606,0.0,0.20831864645752554,0.2518703241895262,0.09975326048642932,0.13216957605985039,0.02537892139584068,0.0399002493765586,0.312301727176595,0.3491271820448878,0.15544589354952415,0.1745635910224439,0.040535777229467745,0.07481296758104738
2017-06,2865,390,0.041884816753926704,0.038461538461538464,0.008726003490401396,0.005128205128205128,0.00034904013961605586,0.0,0.20907504363001744,0.258974358974359,0.09703315881326352,0.13076923076923078,0.025130890052356022,0.03333333333333333,0.281326352530541,0.32564102564102565,0.13647469458987785,0.16153846153846155,0.03420593368237347,0.05641025641025641
2017-07,2893,391,0.0452817144832354,0.04603580562659847,0.008641548565502939,0.0076726342710997444,0.0003456619426201175,0.0,0.23090217767023852,0.28388746803069054,0.10715520221223643,0.1432225063938619,0.025924645696508816,0.03324808184143223,0.2834427929484964,0.3273657289002558,0.13861043899066713,0.17902813299232737,0.03214656066367093,0.05370843989769821
2017-08,2954,408,0.04197698036560596,0.049019607843137254,0.007447528774542992,0.0024509803921568627,0.00033852403520649965,0.0,0.22308733920108328,0.2769607843137255,0.10392687880839539,0.14460784313725492,0.025389302640487475,0.041666666666666664,0.2640487474610697,0.3014705882352941,0.12457684495599188,0.16666666666666666,0.03012863913337847,0.056372549019607844
2017-09,3017,426,0.04209479615512098,0.046948356807511735,0.008286377195889956,0.004694835680751174,0.00033145508783559825,0.0,0.21975472323500167,0.2699530516431925,0.0961219754723235,0.13145539906103287,0.024527676499834273,0.03990610328638498,0.2572091481604243,0.2981220657276995,0.1153463705667882,0.15492957746478872,0.02684786211468346,0.04929577464788732
2017-10,3047,442,0.04299310797505743,0.05429864253393665,0.008861174926156876,0.00904977375565611,0.0,0.0,0.2307187397440105,0.2895927601809955,0.10502133245815556,0.14027149321266968,0.027239908106334098,0.03619909502262444,0.26353790613718414,0.3031674208144796,0.11946176567115195,0.1493212669683258,0.028552674762061043,0.042986425339366516
2017-11,3076,477,0.055266579973992196,0.06708595387840671,0.011053315994798439,0.010482180293501049,0.0,0.0,0.2669050715214564,0.32914046121593293,0.11866059817945383,0.14675052410901468,0.026983094928478543,0.03563941299790356,0.28966189856957086,0.350104821802935,0.13394018205461639,0.16771488469601678,0.029583875162548765,0.0440251572327044
2017-12,3097,523,0.06425573135292219,0.07839388145315487,0.01517597675169519,0.015296367112810707,0.0006457862447529867,0.0,0.2831772683241847,0.35564053537284895,0.12495963835970293,0.16252390057361377,0.027768808524378432,0.03824091778202677,0.30577978689053925,0.372848948374761,0.1407814013561511,0.17973231357552583,0.03035195350339038,0.045889101338432124
