年,未破,持有日,A实收,A峰值,B实收,B峰值,C实收,再创新高
2021,False,11,-0.14082998661311907,0.007764390896920936,-0.12048192771084332,0.1534136546184739,-0.25809906291834006,False
2023,False,48,0.11501597444089451,0.260560880369187,0.28292509762158313,0.5292864749733759,0.19382321618743337,True
2016,False,49,0.047155688622754655,0.16317365269461082,-0.46706586826347307,0.5359281437125749,0.24625748502994016,True
2019,False,19,-0.11515748031496065,0.18208661417322825,-0.2864173228346457,0.18208661417322825,-0.26476377952755914,False
2021,False,19,-0.17625000000000002,0.1875,0.84125,1.1712500000000001,-0.07625000000000004,True
2022,False,23,-0.22637795275590544,-0.07775590551181111,0.10925196850393704,0.90255905511811,-0.005905511811023723,True
2023,False,46,0.2634228187919463,0.6216442953020134,-0.2139261744966443,0.6216442953020134,0.18456375838926165,False
2014,False,35,0.1272727272727272,0.2646464646464646,1.347474747474747,3.767676767676768,0.5010101010101009,True
2019,False,27,-0.12034078807241755,0.18530351437699677,0.41746538871139505,1.1906283280085197,0.3141640042598508,True
2020,False,41,-0.009786989061600582,0.18422567645365562,-0.4444444444444444,0.18422567645365562,0.17846862406447883,False
2023,False,30,-0.0861450107681263,0.05096913137114156,0.14357501794687733,0.6683417085427135,-0.11342426417803309,True
2014,False,31,-0.07901907356948235,0.06267029972752036,0.18119891008174394,1.0231607629427795,-0.027247956403269824,True
2014,False,41,0.040892193308550207,0.13011152416356864,0.21437422552664187,0.8401486988847582,0.25030978934324644,True
2015,False,1,-0.05004721435316328,-0.05004721435316328,-0.3984891406987724,0.40226628895184136,-0.028328611898017053,True
2019,False,35,0.041516245487364545,0.36823104693140785,-0.5108303249097472,0.36823104693140785,-0.41335740072202165,False
2021,False,35,-0.04985337243401755,0.0674486803519061,0.035190615835777095,0.3401759530791788,-0.02052785923753675,True
2024,False,11,-0.2131868131868131,0.3318681318681318,-0.22857142857142854,0.3318681318681318,-0.39340659340659345,False
2014,False,124,0.5717299578059072,0.7784810126582278,0.28481012658227844,1.3206751054852321,0.6371308016877637,True
2017,False,72,0.16074188562596592,0.27357032457496144,0.03400309119010836,0.3632148377125195,0.032457496136012454,True
2018,False,15,-0.12200956937799035,0.055023923444976086,-0.30263157894736836,0.055023923444976086,-0.35526315789473684,False
2019,False,21,-0.08225108225108213,0.11111111111111116,0.3102453102453102,0.4401154401154401,-0.07792207792207795,False
2020,False,37,-0.07956104252400553,0.10013717421124824,-0.20301783264746232,0.36899862825788765,-0.11934156378600824,True
2021,False,35,0.01891252955082723,0.17966903073286056,-0.42671394799054385,0.17966903073286056,-0.15248226950354615,False
2015,False,48,1.1111111111111107,1.98989898989899,0.9858585858585858,1.98989898989899,0.8525252525252525,False
2019,False,73,0.24682203389830515,0.6779661016949152,-0.17690677966101698,0.6779661016949152,0.17584745762711873,False
2022,False,12,-0.11584553928095875,0.09986684420772307,-0.22769640479360853,0.5432756324900134,0.24900133155792292,True
2024,False,3,-0.27006039689387396,-0.09922346850733399,0.5418464193270061,0.6824849007765315,-0.6177739430543572,False
2014,False,52,0.33518518518518503,0.7814814814814812,0.1407407407407406,1.083333333333333,0.7907407407407405,True
