# §61 判定:三条全中年化 +10.37%,但 300 次随机对照 p=0.16,与随机无法区分;本表是状态频率统计,不是买点,不构成投资建议。
月份,t,代码,调整天数,深度,缩量比,收敛比
2015-12,726,601368,45,0.25304259634888426,0.45454699098164486,0.4006108304945379
2015-12,726,600804,50,0.2569517775431186,0.7133227262842253,0.5584257902449234
2015-12,726,000885,32,0.2553045859000683,0.4214590277602316,0.5007275902211873
2015-12,726,603616,42,0.30264244426094133,0.5159752462627414,0.48436963242871867
2015-12,726,600662,32,0.270926517571885,0.36509666368758614,0.5128673782716775
2015-12,726,300267,89,0.42960489705063987,0.6141820345098123,0.49897312537182165
2015-12,726,002475,95,0.4005305039787799,0.6284168122147445,0.5620121422376408
2015-12,726,002765,48,0.3137813211845102,0.5325841711319453,0.48997493734335834
2015-12,726,000523,38,0.21370420624151965,0.3911833738749452,0.4486977450502852
2015-12,726,600521,88,0.253004005340454,0.4004838241338754,0.26295264623955433
2015-12,726,300413,26,0.2531387852052934,0.587042080925468,0.552215336231616
2015-12,726,600676,39,0.1894108873974647,0.35592471374548557,0.427948435328509
2015-12,726,000908,54,0.2905911740216487,0.6448027890724823,0.5064788732394375
2015-12,726,603025,25,0.2272441933458882,0.3244457358995713,0.4589606605148129
2016-01,746,600833,58,0.3955404750363548,0.5687588808248873,0.7386290237343073
2016-01,746,000721,68,0.4704641350210971,0.6099034667712384,0.6796983480967206
2016-01,746,000726,113,0.44972288202692,0.5898582761410177,0.7080075662042878
2016-01,746,000014,63,0.46056475170399214,0.5786510691260538,0.7300792008340207
2016-01,746,002242,66,0.4764150943396226,0.6108429617251258,0.4552044070745143
2016-01,746,002508,86,0.2667766776677668,0.6168132218526173,0.7478876841490663
2016-01,746,603223,45,0.4699352451433857,0.2920790047108564,0.7024431070901918
2016-01,746,000963,88,0.2532942898975109,0.5206339929547015,0.6382081097197377
2016-01,746,600723,66,0.3994515539305301,0.5542289219456917,0.7102610493667618
2016-01,746,300469,13,0.2894025818072651,0.5731259731904301,0.7683551508252704
2016-01,746,600098,107,0.4521575984990619,0.40677072087350113,0.5709745762711864
2016-01,746,000617,57,0.4706488156539651,0.4249940386807805,0.6885186526620788
2016-01,746,601933,82,0.37591240875912413,0.552485936176989,0.4546179932176342
2016-01,746,601939,241,0.3912037037037037,0.603550078478232,0.7388393257821897
2016-01,746,601988,230,0.4732142857142857,0.6352266278152483,0.7579456418125597
2016-01,746,601328,140,0.4530938123752495,0.32650006981400154,0.5716421408707659
2016-01,746,000429,96,0.36971046770601335,0.4545761687448124,0.6207861595216891
2016-01,746,002062,67,0.4317862165963432,0.4724888743845488,0.7203879802206163
2016-01,746,600664,107,0.36111111111111116,0.35665651740608323,0.5350817822899042
2016-01,746,603885,96,0.44720496894409945,0.5358061280553295,0.7382102431917511
2016-01,746,603018,107,0.42919389978213507,0.5517888453900801,0.5772462077012834
2016-01,746,300133,120,0.42954324586977644,0.6248897620639928,0.5883407848981617
2016-01,746,601002,64,0.46788263283108644,0.6381530483452729,0.7321940237413018
2016-02,762,300395,27,0.2999006951340616,0.42953302307682095,0.6683912760005888
2016-02,762,002749,20,0.27292340884573885,0.5239287260345542,0.6843091334894618
2016-02,762,603611,23,0.3608860075634792,0.5937500457399195,0.679497455007234
2016-02,762,600695,15,0.24352828379674019,0.5812085046581961,0.6382404013119815
2016-02,762,000510,97,0.35760171306209854,0.5328023616785986,0.5670237666546637
2016-02,762,300470,20,0.2654561175961955,0.40951305046760095,0.6274339771383523
2016-02,762,300438,24,0.2708520179372197,0.5329081213981234,0.6605181489506516
2016-02,762,300300,32,0.40773124712379205,0.5666571273138702,0.6207955929869166
2016-02,762,600061,21,0.30065359477124176,0.570978806066013,0.6716870855344496
2016-02,762,300481,20,0.23087919942816304,0.5139319942175016,0.6618936294564585
2016-02,762,600892,14,0.2657142857142858,0.5633947490096116,0.5475706253311228
2016-02,762,002771,21,0.2859531772575251,0.42435917467135503,0.6143260363418791
2016-02,762,300488,20,0.23007573025604033,0.48869069506453194,0.6418721270371919
2016-02,762,002255,123,0.4523396880415944,0.5963233859252329,0.391288825419493
2016-02,762,002151,80,0.42372442372442376,0.5124687080618289,0.4560210365017361
2016-02,762,603601,21,0.23774954627949174,0.2933738784881896,0.6081032628182147
2016-02,762,600076,125,0.4417229729729729,0.5942125818089796,0.6697644608235863
2016-03,785,000012,17,0.13928012519561817,0.4489943216701845,0.5355708292421674
2016-03,785,600207,47,0.2911585365853657,0.5242894363165735,0.4974929489188345
2016-03,785,002370,88,0.42085561497326196,0.27394071993067926,0.5581275720164608
2016-03,785,002506,65,0.4603682946357086,0.5418774992642824,0.4332029722330858
