月,红轴,n_0-1年,0-1年_G100,0-1年_G200,0-1年_G500,n_1-2年,1-2年_G100,1-2年_G200,1-2年_G500,n_2-3年,2-3年_G100,2-3年_G200,2-3年_G500,n_3-5年,3-5年_G100,3-5年_G200,3-5年_G500,n_5-10年,5-10年_G100,5-10年_G200,5-10年_G500,n_>10年,>10年_G100,>10年_G200,>10年_G500
2015-10,0,196,0.05102040816326531,0.00510204081632653,0.0,87,0.11494252873563218,0.0,0.0,2,,,,392,0.10204081632653061,0.02806122448979592,0.002551020408163265,516,0.08333333333333333,0.011627906976744186,0.0,1059,0.08498583569405099,0.018885741265344664,0.0
2015-11,0,193,0.02072538860103627,0.0051813471502590676,0.0,92,0.043478260869565216,0.0,0.0,1,,,,382,0.05759162303664921,0.020942408376963352,0.0,569,0.05799648506151142,0.007029876977152899,0.0,1095,0.07488584474885844,0.017351598173515982,0.0
2015-12,0,204,0.0784313725490196,0.04411764705882353,0.0,112,0.026785714285714284,0.0,0.0,2,,,,357,0.04201680672268908,0.011204481792717087,0.0,613,0.04567699836867863,0.0065252854812398045,0.0,1114,0.05565529622980251,0.011669658886894075,0.0
2016-01,0,177,0.0847457627118644,0.011299435028248588,0.0,93,0.0967741935483871,0.010752688172043012,0.010752688172043012,40,0.175,0.05,0.0,337,0.1394658753709199,0.032640949554896145,0.002967359050445104,631,0.17115689381933438,0.030110935023771792,0.001584786053882726,1136,0.1742957746478873,0.032570422535211266,0.0008802816901408451
2016-02,0,162,0.12345679012345678,0.0,0.0,106,0.1509433962264151,0.009433962264150943,0.009433962264150943,44,0.20454545454545456,0.022727272727272728,0.0,303,0.14521452145214522,0.033003300330033,0.0033003300330033004,674,0.17507418397626112,0.037091988130563795,0.002967359050445104,1113,0.15723270440251572,0.031446540880503145,0.0
2016-03,0,154,0.045454545454545456,0.025974025974025976,0.006493506493506494,116,0.04310344827586207,0.008620689655172414,0.008620689655172414,44,0.06818181818181818,0.022727272727272728,0.0,276,0.07246376811594203,0.021739130434782608,0.0,698,0.09598853868194843,0.012893982808022923,0.0,1110,0.0972972972972973,0.01891891891891892,0.0
2016-04,0,136,0.051470588235294115,0.007352941176470588,0.0,148,0.05405405405405406,0.006756756756756757,0.006756756756756757,45,0.13333333333333333,0.022222222222222223,0.0,260,0.07692307692307693,0.011538461538461539,0.0,690,0.09565217391304348,0.008695652173913044,0.0,1109,0.09107303877366997,0.014427412082957619,0.0
2016-05,0,113,0.061946902654867256,0.02654867256637168,0.0,182,0.038461538461538464,0.005494505494505495,0.0,42,0.09523809523809523,0.0,0.0,241,0.07468879668049792,0.016597510373443983,0.0,725,0.0896551724137931,0.011034482758620689,0.0,1114,0.10053859964093358,0.018850987432675045,0.0
2016-06,0,81,0.04938271604938271,0.024691358024691357,0.0,224,0.017857142857142856,0.004464285714285714,0.0,46,0.10869565217391304,0.0,0.0,218,0.06422018348623854,0.013761467889908258,0.0,749,0.07209612817089453,0.00801068090787717,0.0,1119,0.08936550491510277,0.014298480786416443,0.0008936550491510277
2016-07,0,98,0.05102040816326531,0.030612244897959183,0.01020408163265306,220,0.02727272727272727,0.004545454545454545,0.0,53,0.07547169811320754,0.0,0.0,208,0.0625,0.014423076923076924,0.0,769,0.06501950585175553,0.011703511053315995,0.0,1146,0.07591623036649214,0.011343804537521814,0.0008726003490401396
2016-08,0,127,0.047244094488188976,0.023622047244094488,0.0,210,0.023809523809523808,0.004761904761904762,0.0,62,0.06451612903225806,0.0,0.0,186,0.053763440860215055,0.005376344086021506,0.0,785,0.049681528662420385,0.007643312101910828,0.0,1162,0.06368330464716007,0.0068846815834767644,0.0
2016-09,0,144,0.041666666666666664,0.013888888888888888,0.0,203,0.03940886699507389,0.0049261083743842365,0.0,71,0.04225352112676056,0.0,0.0,171,0.07017543859649122,0.017543859649122806,0.0,798,0.047619047619047616,0.007518796992481203,0.0,1167,0.05826906598114824,0.006855184233076264,0.0
2016-10,0,161,0.012422360248447204,0.006211180124223602,0.0,191,0.015706806282722512,0.005235602094240838,0.0,87,0.034482758620689655,0.0,0.0,159,0.03773584905660377,0.018867924528301886,0.0,810,0.044444444444444446,0.006172839506172839,0.0,1188,0.049663299663299666,0.004208754208754209,0.0
2016-11,0,192,0.020833333333333332,0.010416666666666666,0.0,189,0.021164021164021163,0.005291005291005291,0.0,90,0.03333333333333333,0.0,0.0,153,0.05228758169934641,0.013071895424836602,0.0,805,0.03850931677018633,0.0037267080745341614,0.0,1187,0.040438079191238416,0.003369839932603201,0.0
2016-12,0,207,0.04830917874396135,0.01932367149758454,0.0,196,0.030612244897959183,0.01020408163265306,0.0,107,0.04672897196261682,0.0,0.0,137,0.058394160583941604,0.014598540145985401,0.0,815,0.04049079754601227,0.006134969325153374,0.0,1213,0.04534212695795548,0.004122011541632316,0.0
2017-01,0,261,0.06896551724137931,0.019157088122605363,0.0038314176245210726,177,0.03954802259887006,0.011299435028248588,0.0,101,0.0594059405940594,0.009900990099009901,0.0,148,0.05405405405405406,0.006756756756756757,0.0,818,0.037897310513447434,0.007334963325183374,0.0,1228,0.03908794788273615,0.0024429967426710096,0.0
2017-02,0,284,0.014084507042253521,0.0035211267605633804,0.0,160,0.01875,0.0,0.0,101,0.04950495049504951,0.0,0.0,152,0.046052631578947366,0.006578947368421052,0.0,817,0.03427172582619339,0.006119951040391677,0.0,1226,0.0367047308319739,0.0024469820554649264,0.0
2017-03,0,314,0.028662420382165606,0.006369426751592357,0.0031847133757961785,153,0.013071895424836602,0.006535947712418301,0.0,127,0.07086614173228346,0.0,0.0,131,0.05343511450381679,0.007633587786259542,0.0,831,0.03730445246690734,0.006016847172081829,0.0,1232,0.04626623376623377,0.003246753246753247,0.0
2017-04,0,347,0.04610951008645533,0.011527377521613832,0.0,132,0.015151515151515152,0.007575757575757576,0.0,156,0.057692307692307696,0.0,0.0,118,0.05084745762711865,0.00847457627118644,0.0,814,0.04176904176904177,0.0085995085995086,0.0,1242,0.04830917874396135,0.005636070853462158,0.0
2017-05,0,372,0.06451612903225806,0.021505376344086023,0.0,107,0.028037383177570093,0.0,0.0,192,0.052083333333333336,0.0,0.0,101,0.04950495049504951,0.009900990099009901,0.0,819,0.0463980463980464,0.01221001221001221,0.0,1246,0.05056179775280899,0.00882825040128411,0.0008025682182985554
2017-06,1,394,0.05583756345177665,0.015228426395939087,0.0,78,0.05128205128205128,0.0,0.0,225,0.03111111111111111,0.0,0.0,87,0.04597701149425287,0.022988505747126436,0.0,834,0.03836930455635491,0.01079136690647482,0.0,1247,0.0408981555733761,0.006415396952686447,0.0008019246190858059
2017-07,1,408,0.08088235294117647,0.024509803921568627,0.0,90,0.03333333333333333,0.0,0.0,214,0.04205607476635514,0.004672897196261682,0.0,85,0.07058823529411765,0.023529411764705882,0.0,849,0.038869257950530034,0.008244994110718492,0.0,1247,0.03769045709703288,0.00400962309542903,0.0008019246190858059
2017-08,1,414,0.06038647342995169,0.01932367149758454,0.0,115,0.05217391304347826,0.0,0.0,216,0.041666666666666664,0.0,0.0,77,0.06493506493506493,0.012987012987012988,0.0,850,0.04,0.007058823529411765,0.001176470588235294,1282,0.035101404056162244,0.00546021840873635,0.0
2017-09,1,429,0.07692307692307693,0.02097902097902098,0.0,138,0.057971014492753624,0.0,0.0,211,0.03317535545023697,0.0,0.0,77,0.06493506493506493,0.025974025974025976,0.0,863,0.039397450753186555,0.006952491309385863,0.0011587485515643105,1299,0.030792917628945343,0.006158583525789068,0.0
2017-10,1,434,0.06451612903225806,0.016129032258064516,0.0,161,0.055900621118012424,0.0,0.0,193,0.046632124352331605,0.0051813471502590676,0.0,88,0.06818181818181818,0.03409090909090909,0.0,871,0.04477611940298507,0.008036739380022962,0.0,1300,0.03076923076923077,0.006923076923076923,0.0
2017-11,1,436,0.09403669724770643,0.020642201834862386,0.0,192,0.057291666666666664,0.005208333333333333,0.0,192,0.06770833333333333,0.005208333333333333,0.0,93,0.08602150537634409,0.03225806451612903,0.0,858,0.05244755244755245,0.01048951048951049,0.0,1305,0.03984674329501916,0.00842911877394636,0.0
2017-12,1,417,0.09832134292565947,0.026378896882494004,0.004796163069544364,218,0.0779816513761468,0.01834862385321101,0.0,197,0.07106598984771574,0.005076142131979695,0.0,108,0.09259259259259259,0.027777777777777776,0.0,831,0.06498194945848375,0.02045728038507822,0.0,1326,0.04751131221719457,0.008295625942684766,0.0
2018-01,1,378,0.12433862433862433,0.031746031746031744,0.005291005291005291,258,0.15891472868217055,0.05426356589147287,0.003875968992248062,177,0.11864406779661017,0.01694915254237288,0.0,134,0.14925373134328357,0.03731343283582089,0.0,830,0.09518072289156626,0.02891566265060241,0.0024096385542168677,1328,0.061746987951807226,0.01430722891566265,0.0007530120481927711
2018-02,1,356,0.15168539325842698,0.03932584269662921,0.0056179775280898875,285,0.18596491228070175,0.06666666666666667,0.007017543859649123,160,0.1375,0.00625,0.0,152,0.17763157894736842,0.046052631578947366,0.0,800,0.10875,0.035,0.0025,1322,0.07715582450832073,0.019667170953101363,0.0007564296520423601
2018-03,1,325,0.10461538461538461,0.024615384615384615,0.0,313,0.13099041533546327,0.03514376996805112,0.003194888178913738,147,0.11564625850340136,0.013605442176870748,0.0,175,0.14285714285714285,0.02857142857142857,0.0,808,0.08663366336633663,0.02599009900990099,0.0012376237623762376,1327,0.06480783722682742,0.015825169555388093,0.0
