长度,多头占比
343,0.4418604651162791
468,0.18336886993603413
500,0.2554890219560878
472,0.266384778012685
500,0.5768463073852296
329,0.15454545454545454
500,0.5209580838323353
474,0.32421052631578945
500,0.36926147704590817
500,0.5289421157684631
499,0.188
497,0.6807228915662651
500,0.4750499001996008
500,0.5229540918163673
170,0.0
270,0.3726937269372694
483,0.6838842975206612
500,0.6487025948103793
478,0.3966597077244259
500,0.11377245508982035
446,0.3959731543624161
315,0.560126582278481
474,0.4589473684210526
500,0.3213572854291417
482,0.4720496894409938
383,0.18229166666666666
240,0.29045643153526973
258,0.05791505791505792
499,0.502
318,0.0
240,0.0
498,0.34468937875751504
500,0.21956087824351297
