n,事件收益,对照中位,超额pp,年化超额pp,p,轴,段,组,持有,组序
6642,0.0019767919177262313,0.0009247393109978247,0.10520526067284067,5.648133758326734,0.05970149253731343,S3 突破周量比五分位,留出段22-26,Q3 量比,5,2
6642,0.0018981382277117656,0.003900677292901048,-0.20025390651892822,-2.5879717570483907,0.9353233830845771,S3 突破周量比五分位,留出段22-26,Q3 量比,20,2
6642,0.01429234705229549,0.015235168619742258,-0.09428215674467683,-0.4115039827851108,0.6666666666666666,S3 突破周量比五分位,留出段22-26,Q3 量比,60,2
6642,0.06290481825898035,0.05900891571150643,0.389590254747392,0.8653784478459547,0.06965174129353234,S3 突破周量比五分位,留出段22-26,Q3 量比,120,2
6642,0.15901421703389035,0.14606902470816113,1.2945192325729216,1.2945192325729327,0.009950248756218905,S3 突破周量比五分位,留出段22-26,Q3 量比,250,2
6272,2.1748023978018555e-05,0.0015967152827588461,-0.15749672587808275,-8.195222783283818,0.9950248756218906,S3 突破周量比五分位,留出段22-26,Q4 量比,5,3
6272,-0.0043604011269001005,0.0024503774078468658,-0.6810778534746966,-8.42240920653914,1.0,S3 突破周量比五分位,留出段22-26,Q4 量比,20,3
6272,0.0002605010430315763,0.014231120827297855,-1.3970619784266278,-5.956035861853981,1.0,S3 突破周量比五分位,留出段22-26,Q4 量比,60,3
6272,0.039616611929954394,0.058650001940267246,-1.9033390010312852,-4.176783951102392,1.0,S3 突破周量比五分位,留出段22-26,Q4 量比,120,3
6272,0.13413959279384413,0.16321077110631246,-2.907117831246833,-2.9071178312468415,1.0,S3 突破周量比五分位,留出段22-26,Q4 量比,250,3
7061,-0.011506921797715628,-0.0004176332836549111,-1.1089288514060718,-41.86937415910402,1.0,S3 突破周量比五分位,留出段22-26,Q5 量比,5,4
7061,-0.02777349778684693,-0.0006796803530607863,-2.7093817433786143,-28.83139153061056,1.0,S3 突破周量比五分位,留出段22-26,Q5 量比,20,4
7061,-0.03348374625666175,0.008665341238273252,-4.2149087494935,-16.890025276718944,1.0,S3 突破周量比五分位,留出段22-26,Q5 量比,60,4
7061,-0.009151569833924395,0.05210480105160143,-6.125637088552582,-13.059103568292208,1.0,S3 突破周量比五分位,留出段22-26,Q5 量比,120,4
7061,0.07659282356805519,0.13771897466437827,-6.112615109632308,-6.112615109632302,1.0,S3 突破周量比五分位,留出段22-26,Q5 量比,250,4
