年,筛选器,选中,覆盖牛股,召回率,lift,随机95分位,代码,名称,行业
当前,120日收益(高),,,,,,301176,逸豪新材,电子-元器件
当前,120日收益(高),,,,,,688253,英诺特,医药医疗-医疗器械
当前,120日收益(高),,,,,,603065,宿迁联盛,化工-塑料
当前,120日收益(高),,,,,,688143,长盈通,通信-通信设备
当前,120日收益(高),,,,,,301536,星宸科技,电子-半导体
当前,120日收益(高),,,,,,001339,智微智能,计算机-IT设备
当前,120日收益(高),,,,,,688531,日联科技,机械设备-专用设备
当前,120日收益(高),,,,,,688548,广钢气体,电子-电子化学品
当前,120日收益(高),,,,,,688347,华虹宏力,电子-半导体
当前,120日收益(高),,,,,,301603,乔锋智能,机械设备-通用设备
当前,120日收益(高),,,,,,301365,矩阵股份,建筑-工程咨询服务
当前,120日收益(高),,,,,,688409,富创精密,电子-半导体
当前,120日收益(高),,,,,,688507,索辰科技,计算机-软件服务
当前,120日收益(高),,,,,,301580,爱迪特,医药医疗-医疗器械
当前,120日收益(高),,,,,,688629,华丰科技,国防军工-军工电子
当前,120日收益(高),,,,,,688610,埃科光电,机械设备-通用设备
当前,120日收益(高),,,,,,001389,广合科技,电子-元器件
当前,120日收益(高),,,,,,301588,美新科技,轻工制造-家居用品
当前,120日收益(高),,,,,,301520,万邦医药,医药医疗-医疗服务
当前,120日收益(高),,,,,,688693,锴威特,电子-半导体
当前,120日收益(高),,,,,,001259,利仁科技,家电-小家电
当前,120日收益(高),,,,,,301292,海科新源,电力设备-电池
当前,120日收益(高),,,,,,688627,精智达,机械设备-专用设备
当前,120日收益(高),,,,,,001229,魅视科技,计算机-IT设备
当前,120日收益(高),,,,,,301321,翰博高新,电子-光学光电
当前,120日收益(高),,,,,,301369,联动科技,电子-半导体
当前,120日收益(高),,,,,,001309,德明利,电子-半导体
当前,120日收益(高),,,,,,301307,美利信,通信-通信设备
当前,120日收益(高),,,,,,688758,赛分科技,化工-化学原料
当前,120日收益(高),,,,,,001359,平安电工,化工-非金属材料
当前,120日收益(高),,,,,,301115,联检科技,社会服务-专业服务
当前,120日收益(高),,,,,,301366,一博科技,电子-元器件
当前,120日收益(高),,,,,,688545,兴福电子,电子-电子化学品
当前,120日收益(高),,,,,,603296,华勤技术,电子-消费电子
当前,120日收益(高),,,,,,301345,涛涛车业,汽车-摩托车及其他
当前,120日收益(高),,,,,,603373,安邦护卫,社会服务-专业服务
当前,距一年低点(高),,,,,,688498,源杰科技,电子-半导体
当前,距一年低点(高),,,,,,301377,鼎泰高科,机械设备-通用设备
当前,距一年低点(高),,,,,,301526,国际复材,建材-玻璃玻纤
当前,距一年低点(高),,,,,,688702,盛科通信-U,电子-半导体
当前,距一年低点(高),,,,,,301319,唯特偶,电子-电子化学品
当前,距一年低点(高),,,,,,688627,精智达,机械设备-专用设备
当前,距一年低点(高),,,,,,301232,飞沃科技,电力设备-风电设备
当前,距一年低点(高),,,,,,001309,德明利,电子-半导体
当前,距一年低点(高),,,,,,688485,九州一轨,机械设备-轨交设备
当前,距一年低点(高),,,,,,603061,金海通,电子-半导体
当前,距一年低点(高),,,,,,301308,江波龙,电子-半导体
当前,距一年低点(高),,,,,,301396,宏景科技,计算机-软件服务
当前,距一年低点(高),,,,,,301292,海科新源,电力设备-电池
当前,距一年低点(高),,,,,,688361,中科飞测,电子-半导体
当前,距一年低点(高),,,,,,688141,杰华特,电子-半导体
当前,距一年低点(高),,,,,,688525,佰维存储,电子-半导体
当前,距一年低点(高),,,,,,688120,华海清科,电子-半导体
当前,距一年低点(高),,,,,,688548,广钢气体,电子-电子化学品
当前,距一年低点(高),,,,,,301205,联特科技,通信-通信设备
当前,距一年低点(高),,,,,,688610,埃科光电,机械设备-通用设备
当前,距一年低点(高),,,,,,301369,联动科技,电子-半导体
当前,距一年低点(高),,,,,,688353,华盛锂电,电力设备-电池
当前,距一年低点(高),,,,,,688409,富创精密,电子-半导体
当前,距一年低点(高),,,,,,688629,华丰科技,国防军工-军工电子
当前,距一年低点(高),,,,,,301165,锐捷网络,通信-通信设备
当前,距一年低点(高),,,,,,688147,微导纳米,电力设备-光伏设备
当前,距一年低点(高),,,,,,301338,凯格精机,机械设备-专用设备
当前,距一年低点(高),,,,,,688411,海博思创,电力设备-电池
当前,距一年低点(高),,,,,,301373,凌玮科技,化工-化学原料
当前,距一年低点(高),,,,,,688530,欧莱新材,电子-半导体
当前,距一年低点(高),,,,,,688172,燕东微,电子-半导体
当前,距一年低点(高),,,,,,688549,中巨芯-U,电子-电子化学品
当前,距一年低点(高),,,,,,301511,德福科技,电力设备-电池
当前,距一年低点(高),,,,,,688432,有研硅,电子-半导体
当前,距一年低点(高),,,,,,603163,圣晖集成,建筑-专业工程
当前,距一年低点(高),,,,,,001389,广合科技,电子-元器件
当前,距一年低点(高),,,,,,688479,友车科技,计算机-软件服务
当前,距一年低点(高),,,,,,688545,兴福电子,电子-电子化学品
当前,距一年低点(高),,,,,,688387,信科移动-U,通信-通信设备
当前,距一年低点(高),,,,,,688433,华曙高科,机械设备-专用设备
当前,距一年低点(高),,,,,,688205,德科立,通信-通信设备
当前,距一年低点(高),,,,,,688416,恒烁股份,电子-半导体
当前,距一年低点(高),,,,,,688652,京仪装备,电子-半导体
当前,距一年低点(高),,,,,,688448,磁谷科技,机械设备-专用设备
当前,距一年低点(高),,,,,,301358,湖南裕能,电力设备-电池
当前,距一年低点(高),,,,,,001359,平安电工,化工-非金属材料
当前,距一年低点(高),,,,,,603124,江南新材,有色-金属新材料
当前,距一年低点(高),,,,,,301273,瑞晨环保,机械设备-通用设备
