代码,他,我,他RPS50,我RPS50,我合格
001269,无信号,无信号,21.91033925686591,21.027410389112518,True
001382,无信号,无信号,21.66801292407108,20.77822503354418,True
301305,无信号,无信号,21.58723747980614,20.682384512171748,True
301161,无信号,无信号,21.5670436187399,20.701552616446232,True
301608,无信号,无信号,21.30452342487884,20.414031052328923,True
688455,无信号,无信号,21.14297253634895,20.299022426682,True
688657,无信号,无信号,21.08239095315024,20.18401380103508,True
301606,无信号,无信号,20.55735056542811,19.66647498562392,True
301586,无信号,无信号,20.51696284329564,19.60897067280046,True
688775,无信号,无信号,20.45638126009693,19.570634464251484,True
301141,无信号,无信号,20.35541195476575,19.513130151428022,True
301522,无信号,无信号,20.23424878836834,19.3981215257811,True
301260,无信号,无信号,20.07269789983845,19.18727237876174,True
301658,无信号,无信号,20.01211631663974,19.20644048303623,True
301611,无信号,无信号,19.97172859450727,19.12976806593828,True
301197,无信号,无信号,19.81017770597738,18.957255127467892,True
301132,无信号,无信号,19.76978998384491,18.91891891891892,True
688671,无信号,无信号,19.46688206785137,18.650565459076095,True
603072,无信号,无信号,19.40630048465267,18.57389304197815,True
001223,无信号,无信号,19.28513731825525,18.47805252060571,True
001373,无信号,无信号,19.18416801292407,18.382211999233274,True
001239,无信号,无信号,19.12358642972536,18.305539582135328,True
301555,无信号,无信号,18.96203554119548,18.190530956488406,True
301203,无信号,无信号,18.82067851373182,18.037186122292507,True
688631,无信号,无信号,18.61873990306947,17.84550507954763,True
301297,无信号,无信号,18.41680129240711,17.65382403680276,True
301252,无信号,无信号,18.3562197092084,17.615487828253787,True
301371,无信号,无信号,18.11389337641357,17.347134368410963,True
688692,无信号,无信号,18.09369951534733,17.327966264136478,True
688391,无信号,无信号,17.8513731825525,17.09794901284263,True
688503,无信号,无信号,17.34652665589661,16.61874640598045,True
603201,无信号,无信号,17.22536348949919,16.503737780333523,True
688031,无信号,无信号,17.04361873990307,16.33122484186314,True
688750,无信号,无信号,16.96284329563812,16.25455242476519,True
301286,无信号,无信号,16.61954765751211,15.928694652098907,True
688249,无信号,无信号,16.57915993537965,15.890358443549932,True
688615,无信号,无信号,16.47819063004846,15.794517922177498,True
301421,无信号,无信号,16.45799676898223,15.77534981790301,True
688708,无信号,无信号,16.33683360258481,15.660341192256086,True
301596,无信号,无信号,16.25605815831987,15.583668775158138,True
001287,无信号,无信号,16.23586429725363,15.545332566609163,True
688433,无信号,无信号,15.95315024232633,15.296147211040829,True
301325,无信号,无信号,15.89256865912763,15.200306689668391,True
301631,无信号,无信号,15.79159935379645,15.14280237684493,True
688351,无信号,无信号,15.77140549273021,15.123634272570444,True
301581,无信号,无信号,15.7108239095315,14.989457542649031,True
301195,无信号,无信号,15.46849757673667,14.874448917002109,True
688721,无信号,无信号,15.44830371567044,14.816944604178648,True
301512,无信号,无信号,15.32714054927302,14.682767874257236,True
301361,无信号,无信号,15.28675282714055,14.66359976998275,True
301220,无信号,无信号,15.2059773828756,14.586927352884798,True
301629,无信号,无信号,14.96365105008078,14.356910101590953,True
301510,无信号,无信号,14.88287560581583,14.261069580218516,True
301303,无信号,无信号,14.78190630048465,14.203565267395055,True
301626,无信号,无信号,14.62035541195477,14.050220433199156,True
688353,无信号,无信号,14.60016155088853,14.011884224650181,True
301276,无信号,无信号,14.47899838449112,13.877707494728773,True
603375,无信号,无信号,14.31744749596123,13.762698869081849,True
301348,无信号,无信号,13.71163166397415,13.130151428023767,True
688375,无信号,无信号,13.46930533117932,12.938470385278897,True
301210,无信号,无信号,13.38852988691438,12.861797968180946,True
301479,无信号,无信号,13.32794830371567,12.804293655357485,True
688419,无信号,无信号,13.18659127625202,12.670116925436076,True
301231,无信号,无信号,12.94426494345719,12.440099674142227,True
301628,无信号,无信号,12.92407108239095,12.42093156986774,True
600930,无信号,无信号,12.7827140549273,12.401763465593254,True
688523,无信号,无信号,12.76252019386107,12.267586735671843,True
688041,无信号,无信号,12.5,12.037569484377995,True
688372,无信号,无信号,12.35864297253635,11.884224650182098,True
301548,无信号,无信号,12.27786752827141,11.807552233084149,True
603281,无信号,无信号,12.2172859450727,11.750047920260688,True
001330,无信号,无信号,12.13651050080775,11.65420739888825,True
301560,无信号,无信号,12.05573505654281,11.5775349817903,True
301418,无信号,无信号,11.9951534733441,11.52003066896684,True
301487,无信号,无信号,11.83360258481422,11.385853939045429,True
688332,无信号,无信号,11.67205169628433,11.213341000575044,True
