观察日,排名,代码,名称,申万一级,距一年低点涨幅,换手加速,流通市值亿,未来60日最大涨幅,启动(>=50%)
2019-03-29,68,002429,兆驰股份,家用电器,0.9125,0.727,130.2,0.0392,False
2019-03-29,69,000021,深科技,计算机,0.9105,1.0986,138.2,0.0469,False
2019-03-29,70,600756,浪潮软件,计算机,0.9021,0.849,88.9,0.1348,False
2019-03-29,71,300130,新国都,计算机,0.8979,0.7672,58.3,0.1387,False
2019-03-29,72,600664,,医药生物,0.8795,1.44,153.7,0.0657,False
2019-03-29,73,600816,建元信托,非银金融,0.8779,0.8926,339.6,0.0498,False
2019-03-29,74,600463,空港股份,房地产,0.873,0.6868,28.5,0.1758,False
2019-03-29,75,000652,泰达股份,综合,0.8707,0.7671,67.0,0.0392,False
2019-03-29,76,603881,数据港,计算机,0.8699,0.7251,52.3,0.0549,False
2019-03-29,77,600716,凤凰股份,房地产,0.8686,0.9439,49.2,0.1152,False
2019-03-29,78,603519,立霸股份,家用电器,0.8679,0.6282,24.3,0.6566,True
2019-03-29,79,000036,华联控股,房地产,0.8672,0.903,84.2,0.0911,False
2019-03-29,80,002381,双箭股份,基础化工,0.8601,1.0166,35.2,0.1344,False
2019-03-29,81,000009,中国宝安,综合,0.8542,1.0537,142.4,0.0713,False
2019-03-29,82,000877,天山股份,建筑材料,0.8477,0.9714,104.3,0.1353,False
2019-03-29,83,002373,千方科技,计算机,0.8476,0.9877,159.4,0.165,False
2019-03-29,84,600375,汉马科技,机械设备,0.8387,1.3547,33.8,0.1596,False
2019-03-29,85,300709,精研科技,电子,0.8337,0.6666,25.0,0.1922,False
2019-03-29,86,300002,神州泰岳,计算机,0.831,0.6559,75.8,0.0308,False
2019-03-29,87,000813,德展健康,医药生物,0.8286,1.4056,153.0,-0.0007,False
2019-03-29,88,002322,理工能科,电力设备,0.8285,0.7516,51.8,0.2739,False
2019-03-29,89,603006,联明股份,汽车,0.8246,0.9077,15.3,0.0698,False
2019-03-29,90,002670,国盛证券,非银金融,0.8234,1.1164,94.3,0.0114,False
2019-03-29,91,300017,网宿科技,通信,0.8226,0.9771,276.8,0.1077,False
2019-03-29,92,300170,汉得信息,计算机,0.8144,0.9303,119.2,0.077,False
2019-03-29,93,300142,沃森生物,医药生物,0.8107,0.7172,350.9,0.1468,False
2019-03-29,94,600222,太龙药业,医药生物,0.8091,0.9276,31.4,0.2397,False
2019-03-29,95,300006,莱美药业,医药生物,0.8075,0.7709,42.9,0.372,False
2019-03-29,96,600493,凤竹纺织,纺织服饰,0.8045,0.854,21.1,0.0097,False
2019-03-29,97,603496,恒为科技,计算机,0.7988,0.7328,24.2,0.1118,False
2019-03-29,98,300110,华仁药业,医药生物,0.7951,0.7048,60.1,0.5571,True
2019-03-29,99,600996,贵广网络,传媒,0.7911,0.7673,30.7,0.1206,False
2019-03-29,100,002149,西部材料,有色金属,0.7879,0.7904,38.2,0.3257,False
2019-04-30,1,600218,全柴动力,机械设备,3.3299,0.1057,67.4,-0.007,False
2019-04-30,2,300573,兴齐眼药,医药生物,3.3209,0.9281,32.1,0.3266,False
2019-04-30,3,002565,顺灏股份,轻工制造,3.2265,0.1147,104.4,0.0303,False
2019-04-30,4,600975,新五丰,农林牧渔,3.1703,0.0903,89.9,-0.0106,False
2019-04-30,5,002234,民和股份,农林牧渔,3.0506,0.2608,75.6,-0.0322,False
2019-04-30,6,002567,唐人神,农林牧渔,2.8719,0.1287,133.3,-0.0999,False
2019-04-30,7,002458,益生股份,农林牧渔,2.6421,0.2203,97.5,0.0138,False
2019-04-30,8,002733,雄韬股份,电力设备,2.6332,0.1033,92.5,-0.0971,False
2019-04-30,9,603363,傲农生物,农林牧渔,2.2455,0.2109,43.9,0.0367,False
2019-04-30,10,600775,南京熊猫,通信,2.2295,0.3622,98.8,0.121,False
2019-04-30,11,300663,科蓝软件,计算机,2.1109,0.4205,51.9,0.3901,False
2019-04-30,12,300119,瑞普生物,农林牧渔,2.0794,0.38,37.7,0.2978,False
2019-04-30,13,300220,金运激光,电子,1.9681,0.1253,33.2,0.464,False
2019-04-30,14,000159,国际实业,基础化工,1.9235,0.7616,48.8,0.0191,False
2019-04-30,15,300174,元力股份,基础化工,1.8891,0.4067,69.6,0.0125,False
2019-04-30,16,000550,江铃汽车,汽车,1.8823,0.2444,139.2,0.0389,False
2019-04-30,17,603519,立霸股份,家用电器,1.8522,0.3504,37.1,0.0849,False
