样本类型,观察日期,股票代码,股票名称,收盘价,统一信号,信号类型,信号理由,首次触发日期,连续确认天数,触发状态,平台信号,周线多头排列,案例展示分层_质量,案例辅助标签_周线五态,距一年低点涨幅,近120日收益,MA20持续度,RPS50,RPS60,RPS250,距一年高点价格差,平台深度,平台缩量比,平台收敛比,R09核心质量分
当日观察,2026-08-28,001258,立新能源,13.3,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=99.6,2026-07-20,30,持续,无平台信号,True,高,多头趋势,1.0493066255778118,0.5702479338842974,0.5916666666666667,99.5591336016868,95.11213341000575,93.32946635730859,-0.16509730069052098,,,,0.7112214091586997
当日观察,2026-08-28,688103,国力电子,74.84,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=90.6,2026-08-27,2,持续,无平台信号,True,中,多头趋势,0.4529217627645119,0.22427613283167025,0.5583333333333333,90.60762890550124,94.49875407322216,73.20185614849188,-0.27339805825242713,,,,0.46793577611281023
当日观察,2026-08-28,000626,远大控股,9.41,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=97.8,2026-08-28,1,新触发,无平台信号,True,缺失,多头趋势,0.5325732899022801,0.2529960053262317,0.5583333333333333,97.81483611270846,93.981215257811,84.41608662026296,-0.12383612662942267,,,,
当日观察,2026-08-28,603333,福华尚纬,10.29,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=96.7,2026-08-27,2,持续,无平台信号,True,缺失,多头趋势,0.4095890410958902,0.16402714932126683,0.5583333333333333,96.66474985623921,93.8278704236151,81.47718484145399,0.0,,,,
当日观察,2026-08-28,600508,上海能源,12.12,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=98.9,2026-08-25,4,持续,无平台信号,True,中,多头趋势,0.6445047489823608,0.30462863293864384,0.6,98.92658616062872,92.9269695227142,86.21423047177107,0.0,,,,0.5563691861057682
当日观察,2026-08-28,603162,海通发展,12.68,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=97.4,2026-08-17,10,持续,无平台信号,True,高,多头趋势,1.160136286201022,0.27951564076690216,0.6166666666666667,97.43147402721871,91.94939620471536,95.10827532869295,-0.023112480739599484,,,,0.8048734007659614
当日观察,2026-08-28,603012,创力集团,10.07,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=97.9,2026-08-25,4,持续,无平台信号,True,中,多头趋势,0.8682745825602971,0.22804878048780508,0.6166666666666667,97.87234042553192,91.35518497220625,90.81593194122196,-0.013712047012732653,,,,0.5350119024669122
当日观察,2026-08-28,688206,概伦电子,44.52,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=90.5,2026-08-24,5,持续,无平台信号,True,缺失,多头趋势,0.5142857142857145,0.29644729178800233,0.5833333333333334,90.47345217557984,90.990990990991,80.95514307811291,-0.15952425901453648,,,,
当日观察,2026-08-28,301273,瑞晨环保,39.07,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=94.0,2026-04-24,87,持续,无平台信号,True,缺失,多头趋势,1.1986494091164883,0.7257067137809188,0.675,94.01955146635997,90.76097373969715,93.8321732405259,-0.10656300022867593,,,,
当日观察,2026-08-28,603757,大元泵业,65.28,1,强确认,反弹≥40%；120日收益≥10%；MA20持续度≥55%；RPS50=90.8,2026-08-05,18,持续,无平台信号,True,低,多头趋势,0.8571834992887626,0.5209692451071761,0.5833333333333334,90.83764615679509,90.5309564884033,81.82521268368136,-0.1788679245283019,,,,0.28200601019015764
