criterion,window,ctrl_cagr,strat_cagr
D2,full,0.16642658573385138,0.2563177616624246
D2,full,0.11472899147256999,0.2563177616624246
D2,full,0.14702049155530372,0.2563177616624246
D2,full,0.136127957160864,0.2563177616624246
D2,full,0.13918689730249123,0.2563177616624246
D2,full,0.07378286724601058,0.2563177616624246
D2,full,0.10330407445046186,0.2563177616624246
D2,full,0.12361276880457739,0.2563177616624246
D2,full,0.1484073853004979,0.2563177616624246
D2,full,0.14469397076935198,0.2563177616624246
D2,full,0.14758199500581504,0.2563177616624246
D2,full,0.14398796652018153,0.2563177616624246
D2,full,0.15459885110453797,0.2563177616624246
D2,full,0.20383386360689326,0.2563177616624246
D2,full,0.1494856087770957,0.2563177616624246
D2,full,0.15891844368700392,0.2563177616624246
D2,full,0.1560104032722831,0.2563177616624246
D2,full,0.19979534404298738,0.2563177616624246
D2,full,0.15370988630499882,0.2563177616624246
D2,full,0.13199344703098626,0.2563177616624246
D2,full,0.14331374806397168,0.2563177616624246
D2,full,0.15428314762149298,0.2563177616624246
D2,full,0.1113321994530958,0.2563177616624246
D2,full,0.1305131460562967,0.2563177616624246
D2,full,0.16159216100115437,0.2563177616624246
D2,full,0.15355647083405577,0.2563177616624246
D2,full,0.1349362378502288,0.2563177616624246
D2,full,0.14349762414917966,0.2563177616624246
D2,full,0.18631013747247627,0.2563177616624246
D2,full,0.11055928105316037,0.2563177616624246
D2,full,0.1683859062644335,0.2563177616624246
D2,full,0.18843736345889206,0.2563177616624246
D2,full,0.1266314142043643,0.2563177616624246
D2,full,0.15857886372894514,0.2563177616624246
D2,full,0.11508151991396254,0.2563177616624246
D2,full,0.17394448513893512,0.2563177616624246
D2,full,0.18156709544327776,0.2563177616624246
D2,full,0.13001676886191826,0.2563177616624246
D2,full,0.12659083757747158,0.2563177616624246
D2,full,0.11576922336681905,0.2563177616624246
D2,full,0.1511349756215714,0.2563177616624246
D2,full,0.15843355902519374,0.2563177616624246
D2,full,0.16010333602927718,0.2563177616624246
D2,full,0.17660211960433014,0.2563177616624246
D2,full,0.14399229051425677,0.2563177616624246
D2,full,0.16651821115863785,0.2563177616624246
D2,full,0.16791559411067558,0.2563177616624246
D2,full,0.16274533557353577,0.2563177616624246
D2,full,0.14859765929656388,0.2563177616624246
D2,oos,0.18088152541679214,0.36206595071392256
D2,oos,0.1757472693772799,0.36206595071392256
D2,oos,0.10845166185933186,0.36206595071392256
D2,oos,0.16323407578989335,0.36206595071392256
D2,oos,0.038385906831735594,0.36206595071392256
D2,oos,0.12860898317221192,0.36206595071392256
D2,oos,0.07595210556414189,0.36206595071392256
D2,oos,0.13250363451920277,0.36206595071392256
D2,oos,0.04143678746368562,0.36206595071392256
D2,oos,0.06376800805208083,0.36206595071392256
D2,oos,0.125191700768017,0.36206595071392256
D2,oos,0.10603740226280922,0.36206595071392256
D2,oos,0.07880324694464425,0.36206595071392256
D2,oos,0.14228393937336548,0.36206595071392256
D2,oos,0.14566987188115377,0.36206595071392256
D2,oos,0.1333267880069875,0.36206595071392256
D2,oos,0.21563115612015515,0.36206595071392256
D2,oos,0.21165085580596799,0.36206595071392256
D2,oos,0.1499177294337397,0.36206595071392256
D2,oos,0.24114208114226066,0.36206595071392256
D2,oos,0.10511064278967663,0.36206595071392256
D2,oos,0.1897837839955001,0.36206595071392256
D2,oos,0.10179950073377508,0.36206595071392256
D2,oos,0.11090451856856709,0.36206595071392256
D2,oos,0.23593363733464479,0.36206595071392256
D2,oos,0.07381778215818802,0.36206595071392256
D2,oos,0.06069148416743331,0.36206595071392256
D2,oos,0.10988057397681694,0.36206595071392256
D2,oos,0.1342386049379627,0.36206595071392256
D2,oos,0.11299461317611925,0.36206595071392256
D2,oos,0.04994397380678506,0.36206595071392256
D2,oos,0.09555130315279281,0.36206595071392256
D2,oos,0.171400854184369,0.36206595071392256
D2,oos,0.22867980183535885,0.36206595071392256
D2,oos,0.21272329166184756,0.36206595071392256
D2,oos,0.07649862317246381,0.36206595071392256
D2,oos,0.15922371171185223,0.36206595071392256
D2,oos,0.18298348311106039,0.36206595071392256
D2,oos,0.2593870190966425,0.36206595071392256
D2,oos,0.1264717760381988,0.36206595071392256
D2,oos,0.09116765758505219,0.36206595071392256
D2,oos,0.13742742103410333,0.36206595071392256
D2,oos,0.1626805160553415,0.36206595071392256
D2,oos,0.1507565691162316,0.36206595071392256
D2,oos,0.0962913836425141,0.36206595071392256
D2,oos,0.17799661267177758,0.36206595071392256
D2,oos,0.039101011934931096,0.36206595071392256
D2,oos,0.16533098784958833,0.36206595071392256
D2,oos,0.1704873635498465,0.36206595071392256
D2,oos,0.2200873135817243,0.36206595071392256
D2,oos,0.12324847145051909,0.36206595071392256
D2,oos,0.15196356381322462,0.36206595071392256
D2,oos,0.09020356851540923,0.36206595071392256
D2,oos,0.14178633598510215,0.36206595071392256
D2,oos,0.16650172217998072,0.36206595071392256
D2,oos,0.1606097600266405,0.36206595071392256
D2,oos,0.07870864570111369,0.36206595071392256
D2,oos,0.058638189924906214,0.36206595071392256
D2,oos,0.12836819747177652,0.36206595071392256
D2,oos,0.13561544746475485,0.36206595071392256
D2,oos,0.15273198278139488,0.36206595071392256
D2,oos,0.09842402251211357,0.36206595071392256
D2,oos,0.19868254129840124,0.36206595071392256
D2,oos,0.11106812689377876,0.36206595071392256
D2,oos,0.15822687178100914,0.36206595071392256
D2,oos,0.13994811266666862,0.36206595071392256
D2,oos,0.13605280961755373,0.36206595071392256
D2,oos,0.09710402877827251,0.36206595071392256
D2,oos,0.22647120438527013,0.36206595071392256
D2,oos,0.14664072494849156,0.36206595071392256
D2,oos,0.037506719038338465,0.36206595071392256
D2,oos,0.08692605712945989,0.36206595071392256
D2,oos,0.19488375814922576,0.36206595071392256
D2,oos,0.13720263881802874,0.36206595071392256
D2,oos,0.09908126674869178,0.36206595071392256
D2,oos,0.17409591745181685,0.36206595071392256
D2,oos,0.1997428268542687,0.36206595071392256
D2,oos,0.12159733046690246,0.36206595071392256
D2,oos,0.11723767840028265,0.36206595071392256
