观察日,排名,代码,名称,申万一级,距一年低点涨幅,换手加速,流通市值亿,RPS60,RPS120,RPS250,MA20持续度120日,20日波动率,相对MA250,120日收益率,周线排列,周线已持续周,未来60日最大涨幅,启动(>=50%)
2019-02-28,14,002299,圣农发展,农林牧渔,1.0864,0.5209,292.6,97.7,97.5,99.4,0.633,0.0417,0.5907,0.5609,多头,16.0,0.2702,False
2019-02-28,15,300397,天和防务,国防军工,1.0792,0.9762,28.8,99.3,98.1,89.1,0.508,0.0443,0.4934,0.6458,空头,125.0,0.4886,False
2019-02-28,16,600975,新五丰,农林牧渔,1.0726,1.312,42.8,99.5,97.8,93.7,0.517,0.0516,0.5223,0.6064,空头,9.0,1.3699,True
2019-02-28,17,000536,华映科技,电子,1.0536,0.9979,69.1,98.2,93.1,41.9,0.425,0.0697,0.2403,0.3477,空头,100.0,0.2928,False
2019-02-28,18,300226,上海钢联,传媒,1.0536,0.5834,120.8,98.5,98.1,95.0,0.533,0.0396,0.4304,0.6426,空头,14.0,0.096,False
2019-02-28,19,002600,领益智造,电子,1.0346,1.3387,73.1,99.0,97.6,15.2,0.45,0.0599,0.0754,0.5667,空头,3.0,0.6149,True
2019-02-28,20,300545,联得装备,电子,1.0113,0.5833,15.0,99.5,97.3,93.3,0.483,0.063,0.3656,0.5267,空头,51.0,0.2014,False
2019-02-28,21,300684,中石科技,基础化工,0.9957,0.6798,26.9,91.9,6.4,98.7,0.375,0.057,0.1657,-0.1948,,,-0.0095,False
2019-02-28,22,601099,太平洋,非银金融,0.9848,0.5707,251.6,94.9,98.4,91.9,0.508,0.0446,0.4854,0.6853,空头,44.0,0.2123,False
2019-02-28,23,002679,福建金森,农林牧渔,0.9655,0.571,50.9,70.9,99.0,99.1,0.767,0.0424,0.4865,0.8663,多头,12.0,0.2862,False
2019-02-28,24,600816,建元信托,非银金融,0.961,0.9727,352.8,98.3,86.3,18.2,0.383,0.0581,0.1192,0.2397,空头,42.0,0.1722,False
2019-02-28,25,600570,恒生电子,计算机,0.9532,0.5884,534.4,98.7,97.6,99.0,0.683,0.036,0.5604,0.5712,多头,8.0,0.158,False
2019-02-28,26,300322,硕贝德,电子,0.9511,0.5518,54.7,97.0,95.5,98.3,0.658,0.0399,0.5288,0.4169,多头,3.0,0.2108,False
2019-02-28,27,002567,唐人神,农林牧渔,0.936,0.6957,62.7,99.1,98.9,94.6,0.742,0.0457,0.5326,0.8322,空头,18.0,1.1399,True
2019-02-28,28,300059,东方财富,传媒,0.9323,0.7394,814.7,97.9,96.7,98.5,0.558,0.0377,0.5136,0.4855,多头,1.0,0.1336,False
2019-02-28,29,002875,安奈儿,纺织服饰,0.9177,1.2877,9.5,98.4,96.8,94.1,0.508,0.0576,0.4207,0.4912,空头,29.0,0.0622,False
2019-02-28,30,000531,穗恒运Ａ,公用事业,0.9,1.2959,51.1,96.9,97.0,82.6,0.558,0.0523,0.3444,0.4986,空头,5.0,0.3647,False
2019-02-28,31,603098,森特股份,建筑装饰,0.8778,0.5817,11.3,97.5,91.1,86.3,0.575,0.0373,0.2268,0.305,空头,53.0,0.0567,False
2019-02-28,32,000957,中通客车,汽车,0.875,0.6296,46.6,97.9,88.8,45.7,0.433,0.0536,0.1817,0.2708,空头,95.0,0.3621,False
2019-02-28,33,601881,中国银河,非银金融,0.8712,0.8222,134.3,96.3,95.5,80.8,0.542,0.0413,0.3119,0.4177,空头,47.0,0.3054,False
2019-02-28,34,000727,冠捷科技,电子,0.8699,1.1935,66.9,97.2,90.3,70.5,0.4,0.0474,0.2263,0.2921,空头,44.0,0.5348,True
2019-02-28,35,000876,新 希 望,农林牧渔,0.8683,0.6717,442.7,98.9,98.6,95.4,0.7,0.032,0.5325,0.7129,多头,2.0,0.7533,True
2019-02-28,36,000518,四环生物,医药生物,0.8672,1.5327,48.5,89.0,77.0,38.4,0.308,0.0597,0.0868,0.1602,空头,77.0,0.0523,False
2019-02-28,37,002876,三利谱,电子,0.853,0.7809,26.3,97.2,60.7,33.7,0.433,0.0406,0.0781,0.0743,空头,27.0,0.1229,False
2019-02-28,38,300085,银之杰,计算机,0.838,0.5679,54.7,97.1,79.1,83.9,0.4,0.0453,0.1341,0.1771,空头,1.0,0.6117,True
2019-02-28,39,002100,天康生物,农林牧渔,0.8287,0.6039,65.5,98.0,77.4,39.5,0.533,0.0405,0.1606,0.1647,空头,61.0,0.833,True
2019-02-28,40,600518,康美药业,医药生物,0.8253,0.6707,467.9,2.7,0.2,2.2,0.25,0.0568,-0.4063,-0.4894,空头,18.0,0.127,False
2019-02-28,41,601555,东吴证券,非银金融,0.8246,0.5771,266.9,86.7,94.5,81.1,0.517,0.0385,0.2833,0.3857,空头,71.0,0.3343,False
2019-02-28,42,300582,英飞特,电子,0.8158,1.2468,19.4,98.7,95.9,75.3,0.492,0.0618,0.2768,0.4354,空头,20.0,0.0152,False
2019-02-28,43,603396,金辰股份,电力设备,0.8117,0.8694,13.1,98.5,94.8,92.8,0.45,0.0455,0.3302,0.3978,空头,10.0,0.1606,False
2019-02-28,44,600552,凯盛科技,电子,0.8072,1.1635,44.7,98.5,92.3,45.5,0.508,0.0582,0.1629,0.3325,空头,44.0,0.2387,False
